"ID","pH","CE","MO","N","P","K","Ca","Mg","Al","CICe","BT","SAl","Arena","Limo","Arcilla","S2_01_B1","S2_02_B2","S2_03_B3","S2_04_B4","S2_05_B5","S2_06_B6","S2_07_B7","S2_08_B8","S2_09_B9","S2_10_B11","S2_11_B12","S2_12_NGRDI","S2_13_ExG","S2_14_ExR","S2_15_ExB","S2_16_IKAW","S2_17_GRRI","S2_18_ExGR","S2_19_GBDI","S2_20_MGRVI","S2_21_RGBVI","S2_22_VDVI","S2_23_VARI","S2_24_RGRI","S2_25_NGBDI","S2_26_CIVE","S2_27_NDVI","S2_28_EVI","S2_29_SAVI","S2_30_MSAVI","S2_31_NDWI","S2_32_GNDVI","S2_33_OSAVI","S2_34_ARVI","S2_35_SIPI","S2_36_CGI","S2_37_RVI","S2_38_CVI","S2_39_CCCI","S2_40_RECI","S2_41_SVI","S2_42_SSI","S2_43_SCI","S2_44_SMI","S2_45_MDE","S2_46_slope","S2_47_aspect","S2_48_TPI","S2_49_TRI","S2_50_flowdir","S2_51__ACP_1","S2_52__ACP_2","S2_53__ACP_3","coords.x1","coords.x2","optional"
11,"5.18","0.11","2.29","0.11","1.01","0.06","1.1","0.13","0.7","1.99","1.29","35.22","61.77","17.66","20.58",0.0430000014603138,0.0505999997258186,0.0705000013113022,0.0637999996542931,0.112999998033047,0.228499993681908,0.275299996137619,0.287900000810623,0.282999992370605,0.286300003528595,0.214800000190735,0.0498883090913296,0.0265999995172024,0.0188200008124113,0.000339999998686835,0.115384615957737,1.10501563549042,0.00778000010177493,0.0198999997228384,44.4765625,0.212473452091217,0.104150354862213,0.0800477862358093,0.904964566230774,0.164326995611191,18.7724494934082,0.637190759181976,0.273266017436981,0.394681215286255,0.372464805841446,-0.606584846973419,0.606584846973419,0.437951922416687,0.452478021383286,1.05890226364136,3.08368802070618,4.51253938674927,3.69559288024902,0.631395161151886,3.51253914833069,2.14370822906494,3.51253914833069,19.1474094390869,2.12427377700806,230,0.913596987724304,27.0824489593506,-0.107290856540203,0.107290856540203,128,0.00884213484823704,0.0130918538197875,-0.0140067413449287,513194,9055999,TRUE
12,"4.61","0.18","1.34","0.07","1.9","0.22","0.45","0.24","4.2","5.11","0.91","82.2","43.77","23.66","32.58",0.0315000005066395,0.0379999987781048,0.0577000007033348,0.0526000000536442,0.0996999964118004,0.206499993801117,0.250999987125397,0.248400002717972,0.304899990558624,0.248999997973442,0.166800007224083,0.0462375357747078,0.0248000007122755,0.015939999371767,-0.0044999998062849,0.161147907376289,1.09695816040039,0.00886000040918589,0.0197000000625849,61.0692481994629,0.249712377786636,0.120388351380825,0.0705394223332405,0.911611795425415,0.20585161447525,18.773946762085,0.650498330593109,0.264737695455551,0.366666674613953,0.337909370660782,-0.622999012470245,0.622999012470245,0.424728840589523,0.462717056274414,1.07456588745117,3.30502605438232,4.72243356704712,3.92451238632202,0.64620715379715,3.72243356704712,2.25203990936279,3.72243356704712,23.0371723175049,2.17311596870422,215.696716308594,3.11199283599854,141.007400512695,-0.0525747053325176,0.420238822698593,4,-0.0135192088782787,-0.0549402385950089,-0.0132168037816882,511953,9056986,TRUE
13,"4.24","0.11","2.02","0.1","2.03","0.13","0.17","0.21","6.8","7.31","0.51","93.03","15.77","43.73","40.5",0.0270000007003546,0.0333000011742115,0.0626000016927719,0.0390000008046627,0.112000003457069,0.264400005340576,0.315100014209747,0.327800005674362,0.345499992370605,0.244299992918968,0.127399995923042,0.23228345811367,0.0529000014066696,-0.00800000037997961,-0.0159799996763468,0.0788381770253181,1.60512816905975,0.0608999989926815,0.0293000005185604,402.279418945312,0.502171576023102,0.26784810423851,0.345534414052963,0.62300318479538,0.305526584386826,18.7618179321289,0.787350058555603,0.398553729057312,0.499769270420074,0.499695092439651,-0.679303288459778,0.679303288459778,0.548215627670288,0.644727826118469,1.01973688602448,4.23642158508301,8.40512847900391,3.2623074054718,0.784572184085846,7.40512800216675,3.22637796401978,7.40512800216675,28.6916656494141,2.89915990829468,211.058624267578,4.78935241699219,52.038875579834,0.101914875209332,0.622676014900208,64,-0.124510861933231,0.0100798727944493,-0.00961716659367085,512581,9056579,TRUE
14,"4.81","0.09","2.29","0.11","2.41","0.35","0.91","0.4","2.4","4.05","1.65","59.24","55.77","15.73","28.5",0.0315999984741211,0.0456999987363815,0.0710000023245811,0.0544000007212162,0.0970999971032143,0.29229998588562,0.353399991989136,0.350699990987778,0.36370000243187,0.242200002074242,0.119400002062321,0.132376402616501,0.0419000014662743,0.00516000017523766,-0.00701999990269542,0.0869130864739418,1.30514705181122,0.0367400012910366,0.0252999998629093,139.537567138672,0.339430421590805,0.173068985342979,0.208281055092812,0.766197204589844,0.216795206069946,18.7659778594971,0.731424331665039,0.3667351603508,0.491050720214844,0.488635778427124,-0.663267731666565,0.663267731666565,0.524331986904144,0.569279491901398,1.02936208248138,3.93943667411804,6.44669103622437,3.7845823764801,0.726962983608246,5.44669103622437,2.79665064811707,5.44669103622437,21.233793258667,2.53903341293335,228.058624267578,4.55661821365356,42.3815383911133,-0.151305079460144,0.680619418621063,128,-0.163769125938416,0.0450258888304234,0.00497862743213773,513150,9055818,TRUE
15,"4.5","0.12","1.34","0.07","4.69","0.09","1.1","0.13","3.9","5.21","1.31","74.86","41.77","27.73","30.5",0.0412000007927418,0.0430000014603138,0.062100000679493,0.0581000000238419,0.136199995875359,0.268500000238419,0.327699989080429,0.321599990129471,0.376199990510941,0.340799987316132,0.201399996876717,0.0332778692245483,0.0230999998748302,0.0192399993538857,-0.0019000000320375,0.149357065558434,1.06884682178497,0.00386000005528331,0.0190999992191792,36.9342269897461,0.213717073202133,0.102529957890511,0.0518134720623493,0.935587763786316,0.181731685996056,18.7744178771973,0.693968951702118,0.33058163523674,0.4493008852005,0.436857789754868,-0.676309645175934,0.676309645175934,0.48823419213295,0.516638934612274,1.05730545520782,4.17874383926392,5.5352840423584,4.84516954421997,0.689432680606842,4.5352840423584,2.67554068565369,4.5352840423584,20.3211574554443,2.35271835327148,224,1.35979950428009,83.9453048706055,0.22085365653038,0.22085365653038,1,-0.0580604486167431,0.110935129225254,-0.0524490438401699,512264,9056605,TRUE
16,"4.93","0.22","1.88","0.09","23.09","0.31","3.05","1.08","1.4","5.84","4.44","23.98","45.77","23.73","30.5",0.0331999994814396,0.0285000000149012,0.0531999990344048,0.0373000018298626,0.102399997413158,0.275999993085861,0.358000010251999,0.35479998588562,0.380299985408783,0.275000005960464,0.138699993491173,0.175690606236458,0.0406000018119812,-0.000980000011622906,-0.0132999997586012,0.133738607168198,1.42627346515656,0.0415799990296364,0.0247000008821487,365.430480957031,0.45390659570694,0.235772356390953,0.256451606750488,0.701127827167511,0.302325576543808,18.7675094604492,0.809742391109467,0.442854344844818,0.533852696418762,0.545473217964172,-0.739215672016144,0.739215672016144,0.575076997280121,0.674164652824402,1.02771651744843,5.66917276382446,9.51206398010254,4.67594289779663,0.807552993297577,8.51206398010254,3.9204421043396,8.51206398010254,29.6281414031982,3.08416342735291,222,1.62387084960938,319.193054199219,-0.337797105312347,0.337797105312347,16,-0.153981760144234,0.0636507496237755,-0.0390448570251465,512325,9056816,TRUE
17,"4.37","0.61","1.88","0.09","28.92","0.14","1.19","0.19","5.2","6.72","1.52","77.41","49.77","15.73","34.5",0.0430000014603138,0.0423999987542629,0.0670000016689301,0.0623999983072281,0.121500000357628,0.272000014781952,0.334899991750717,0.342599987983704,0.35929998755455,0.345600008964539,0.199499994516373,0.0355486869812012,0.0292000006884336,0.0203600004315376,-0.00763999996706843,0.190839692950249,1.0737179517746,0.00884000025689602,0.0245999991893768,34.0544052124023,0.25834646821022,0.122278057038784,0.0528735630214214,0.931343257427216,0.224862888455391,18.7717609405518,0.691851854324341,0.344226032495499,0.464419901371002,0.455851048231125,-0.6728515625,0.6728515625,0.495929211378098,0.510396242141724,1.07137763500214,4.11343288421631,5.49038457870483,4.76236152648926,0.687361478805542,4.49038457870483,2.64760422706604,4.49038457870483,18.9444961547852,2.34315705299377,221.522171020508,2.51428246498108,229.029357910156,0.174705535173416,0.38787254691124,8,-0.0635792762041092,0.115734435617924,-0.0538211427628994,512396,9056711,TRUE
18,"4.7","0.17","2.15","0.11","5.96","0.2","0.91","0.22","2.3","3.62","1.32","63.55","55.77","17.73","26.5",0.0513999983668327,0.0601000003516674,0.0860999971628189,0.0973000004887581,0.137500002980232,0.256000012159348,0.304899990558624,0.319000005722046,0.33950001001358,0.351099997758865,0.24770000576973,-0.0610687024891376,0.0148000000044703,0.0501199997961521,-0.00196000002324581,0.236340537667274,0.884892106056213,-0.0353199988603592,0.0260000005364418,-29.2674827575684,0.118051961064339,0.0449029132723808,-0.0908353626728058,1.1300812959671,0.177838578820229,18.7771244049072,0.532548666000366,0.235495314002037,0.362926989793777,0.342176139354706,-0.574919760227203,0.574919760227203,0.384695470333099,0.321596652269363,1.16779434680939,2.70499420166016,3.27852010726929,4.18694448471069,0.52517157793045,2.27852010726929,1.73936748504639,2.27852010726929,13.4122886657715,1.81066834926605,219,1.61150908470154,248.129821777344,-0.273253113031387,0.273253113031387,16,0.0101425964385271,0.124325707554817,-0.0241973772644997,512135,9056902,TRUE
19,"4.8","0.1","2.29","0.11","4.19","0.14","1.57","0.46","2.1","4.27","2.17","49.19","49.91","19.58","30.5",0.0408000014722347,0.0480000004172325,0.0566999986767769,0.0768000036478043,0.0860999971628189,0.105599999427795,0.122100003063679,0.128700003027916,0.166199997067451,0.259400010108948,0.229000002145767,-0.150561794638634,-0.011400000192225,0.0508200004696846,0.010499999858439,0.230769231915474,0.73828125,-0.062219999730587,0.00870000012218952,-141.510528564453,-0.0683220103383064,-0.0478589423000813,-0.235087722539902,1.35449731349945,0.0830945521593094,18.7893505096436,0.25255474448204,0.06655552983284,0.110347270965576,0.0888262242078781,-0.388349503278732,0.388349503278732,0.141997262835503,0.0699364244937897,1.55491328239441,1.26984131336212,1.67578125,3.07449388504028,0.248104080557823,0.67578125,0.96404492855072,0.67578125,20.7908420562744,1.29451966285706,219.522171020508,5.23272323608398,280.655670166016,-0.0799291357398033,0.684728026390076,16,0.203853219747543,-0.187537536025047,-0.00726890098303556,512089,9056991,TRUE
20,"5.29","0.05","1.75","0.09","1.4","0.17","2.55","0.59","0.6","3.92","3.32","15.32","41.91","33.58","24.5",0.0362999998033047,0.0480000004172325,0.0697999969124794,0.0659999996423721,0.121399998664856,0.213699996471405,0.252400010824203,0.244100004434586,0.265599995851517,0.263700008392334,0.152199998497963,0.0279823262244463,0.0255999993532896,0.0226000007241964,-0.00260000000707805,0.157894730567932,1.05757570266724,0.00300000002607703,0.0218000002205372,24.315580368042,0.211944222450256,0.100946374237537,0.0432801805436611,0.945558726787567,0.185059428215027,18.7730369567871,0.574330866336823,0.222613871097565,0.329774111509323,0.299707382917404,-0.555272400379181,0.555272400379181,0.378855556249619,0.377505302429199,1.10106682777405,2.49713468551636,3.69848489761353,3.30674624443054,0.568522810935974,2.69848489761353,1.79749631881714,2.69848489761353,19.248197555542,1.92314457893372,225.522171020508,2.842698097229,280.751739501953,0.00608334550634027,0.390196532011032,16,0.00596704427152872,-0.051760870963335,0.00717755546793342,512998,9055943,TRUE
